ds,CPU_util
2018-06-30 22:22:50,15
2018-06-30 22:25:30,15
2018-06-30 22:30:30,15
2018-06-30 22:34:10,16
2018-06-30 23:13:10,16
2018-06-30 23:18:10,15
2018-06-30 23:18:50,15
2018-06-30 23:40:20,15
2018-06-30 23:43:30,15
2018-06-30 23:50:40,15
2018-07-01 00:04:30,15
2018-07-01 00:12:10,15
2018-07-01 00:39:20,14
2018-07-01 00:41:10,15
2018-07-01 00:50:40,15
2018-07-01 00:53:50,15
2018-07-01 00:57:40,15
2018-07-01 01:01:30,15
2018-07-01 01:08:10,15
2018-07-01 01:13:10,16
2018-07-01 01:20:50,15
2018-07-01 01:29:20,15
2018-07-01 01:30:50,15
2018-07-01 01:47:00,15
2018-07-01 01:56:30,15
2018-07-01 02:03:20,15
2018-07-01 02:07:30,15
2018-07-01 02:08:10,16
2018-07-01 02:15:20,15
2018-07-01 03:04:30,15
2018-07-01 03:23:30,15
2018-07-01 03:28:10,16
2018-07-01 03:29:40,17
2018-07-01 03:39:40,17
2018-07-01 03:41:50,15
2018-07-01 03:44:10,16
2018-07-01 03:59:50,15
2018-07-01 04:01:50,16
2018-07-01 04:35:10,16
2018-07-01 05:04:20,15
2018-07-01 05:08:40,16
2018-07-01 05:51:20,16
2018-07-01 05:55:40,16
2018-07-01 05:56:40,16
2018-07-01 05:59:00,17
2018-07-01 06:08:40,17
2018-07-01 06:12:00,16
2018-07-01 06:21:20,16
2018-07-01 06:28:40,17
2018-07-01 06:29:10,18
2018-07-01 06:55:20,17
2018-07-01 06:58:20,17
2018-07-01 06:59:20,18
2018-07-01 06:59:50,17
2018-07-01 07:01:00,18
2018-07-01 07:11:00,18
2018-07-01 07:14:00,18
2018-07-01 07:17:40,19
2018-07-01 07:30:30,18
2018-07-01 08:27:10,18
2018-07-01 08:33:00,18
2018-07-01 08:39:10,19
2018-07-01 08:41:30,18
2018-07-01 08:54:10,18
2018-07-01 09:17:30,18
2018-07-01 09:30:50,18
2018-07-01 09:31:00,18
2018-07-01 09:50:10,19
2018-07-01 09:54:50,18
2018-07-01 09:59:40,18
2018-07-01 10:06:20,17
2018-07-01 10:22:50,17
2018-07-01 10:37:30,18
2018-07-01 10:43:20,18
2018-07-01 10:56:10,18
2018-07-01 11:02:30,18
2018-07-01 11:05:00,18
2018-07-01 11:32:20,17
2018-07-01 11:37:20,18
2018-07-01 11:41:50,17
2018-07-01 11:49:00,18
2018-07-01 11:55:10,19
2018-07-01 12:02:00,17
2018-07-01 12:02:40,18
2018-07-01 12:20:20,17
2018-07-01 12:32:00,17
2018-07-01 12:47:10,18
2018-07-01 12:47:20,17
2018-07-01 13:01:40,17
2018-07-01 13:16:20,19
2018-07-01 13:18:40,19
2018-07-01 13:29:40,21
2018-07-01 13:44:20,17
2018-07-01 13:44:30,18
2018-07-01 13:46:50,18
2018-07-01 13:48:30,18
2018-07-01 13:57:40,18
2018-07-01 14:02:20,17
2018-07-01 14:16:00,18
2018-07-01 14:26:00,17
2018-07-01 14:37:10,18
2018-07-01 14:37:40,17
2018-07-01 14:39:10,18
2018-07-01 15:00:50,17
2018-07-01 15:09:50,17
2018-07-01 15:15:20,17
2018-07-01 15:31:50,17
2018-07-01 15:32:30,17
2018-07-01 15:34:40,17
2018-07-01 15:36:00,17
2018-07-01 15:42:10,18
2018-07-01 15:55:10,18
2018-07-01 15:57:00,17
2018-07-01 16:04:20,17
2018-07-01 16:41:20,16
2018-07-01 16:42:20,16
2018-07-01 16:43:40,17
2018-07-01 16:57:20,16
2018-07-01 17:01:40,17
2018-07-01 17:10:40,17
2018-07-01 17:14:20,16
2018-07-01 17:27:10,17
2018-07-01 17:37:30,16
2018-07-01 17:41:50,16
2018-07-01 18:12:30,16
2018-07-01 18:39:40,17
2018-07-01 18:48:50,16
2018-07-01 18:50:20,16
2018-07-01 19:11:40,16
2018-07-01 19:18:00,17
2018-07-01 19:26:10,17
2018-07-01 19:27:00,16
2018-07-01 19:34:50,16
2018-07-01 19:36:00,16
2018-07-01 19:36:50,16
2018-07-01 19:46:20,16
2018-07-01 19:53:10,17
2018-07-01 20:04:00,16
2018-07-01 20:34:50,16
2018-07-01 20:40:00,16
2018-07-01 20:42:50,16
2018-07-01 20:50:50,16
2018-07-01 20:55:30,16
2018-07-01 21:01:10,17
2018-07-01 21:08:10,16
2018-07-01 21:11:30,16
2018-07-01 21:16:30,16
2018-07-01 21:50:10,17
2018-07-01 22:14:10,16
2018-07-01 22:47:30,15
2018-07-01 22:50:00,15
2018-07-01 23:07:10,16
2018-07-01 23:16:40,15
2018-07-02 00:14:10,15
2018-07-02 00:19:30,16
2018-07-02 00:20:30,15
2018-07-02 00:29:50,15
2018-07-02 00:30:30,15
2018-07-02 00:47:00,15
2018-07-02 00:48:40,15
2018-07-02 01:06:40,15
2018-07-02 01:17:40,15
2018-07-02 01:37:10,15
2018-07-02 01:43:10,16
2018-07-02 01:55:50,15
2018-07-02 02:11:10,15
2018-07-02 02:13:10,15
2018-07-02 02:46:50,15
2018-07-02 03:18:50,15
2018-07-02 03:23:50,15
2018-07-02 03:26:00,15
2018-07-02 03:37:50,15
2018-07-02 03:40:20,15
2018-07-02 03:44:50,15
2018-07-02 03:51:40,16
2018-07-02 03:57:40,16
2018-07-02 03:59:20,15
2018-07-02 04:03:40,16
2018-07-02 04:31:10,16
2018-07-02 04:41:30,16
2018-07-02 04:45:00,16
2018-07-02 04:52:30,16
2018-07-02 04:58:10,16
2018-07-02 05:03:50,15
2018-07-02 05:06:40,15
2018-07-02 05:15:10,16
2018-07-02 05:36:50,15
2018-07-02 05:37:20,16
2018-07-02 05:39:10,16
2018-07-02 05:47:20,15
2018-07-02 05:57:00,16
2018-07-02 06:00:40,16
2018-07-02 06:11:00,16
2018-07-02 06:14:50,16
2018-07-02 06:15:30,16
2018-07-02 06:17:40,16
2018-07-02 06:25:30,16
2018-07-02 06:27:10,17
2018-07-02 06:29:20,17
2018-07-02 06:32:00,17
2018-07-02 06:38:30,17
2018-07-02 06:41:40,17
2018-07-02 06:46:40,17
2018-07-02 07:04:40,17
2018-07-02 07:05:40,18
2018-07-02 07:06:10,18
2018-07-02 07:13:10,19
2018-07-02 07:15:30,18
2018-07-02 07:54:30,18
2018-07-02 07:57:50,17
2018-07-02 07:58:10,19
2018-07-02 08:24:40,18
