ds,CPU_util,smoothed_CPU
2018-06-30 17:51:30,24,22.410737233534483
2018-06-30 17:52:40,18,21.969663510181036
2018-06-30 18:04:40,20,21.77269715916293
2018-06-30 18:27:10,21,21.695427443246636
2018-06-30 18:40:10,22,21.725884698921973
2018-06-30 19:15:40,19,21.453296229029775
2018-06-30 19:31:00,21,21.4079666061268
2018-06-30 19:33:50,21,21.367169945514117
2018-06-30 19:36:20,23,21.530452950962705
2018-06-30 19:42:20,22,21.577407655866434
2018-06-30 20:30:30,23,21.71966689027979
2018-06-30 20:40:50,18,21.34770020125181
2018-06-30 20:48:40,17,20.91293018112663
2018-06-30 20:56:20,19,20.721637163013966
2018-06-30 21:00:40,17,20.34947344671257
2018-06-30 21:12:40,16,19.91452610204131
2018-06-30 21:13:50,14,19.323073491837178
2018-06-30 21:21:10,17,19.09076614265346
2018-06-30 21:22:50,15,18.681689528388116
2018-06-30 21:30:20,15,18.313520575549305
2018-06-30 21:32:50,14,17.882168517994373
2018-06-30 21:44:40,14,17.493951666194935
2018-06-30 21:49:50,13,17.044556499575442
2018-06-30 21:58:50,11,16.4401008496179
2018-06-30 22:31:10,10,15.796090764656109
2018-06-30 22:33:30,12,15.416481688190498
2018-06-30 22:37:20,10,14.874833519371446
2018-06-30 22:38:10,10,14.387350167434303
2018-06-30 22:39:00,9,13.848615150690872
2018-06-30 22:42:20,9,13.363753635621784
2018-06-30 22:57:30,10,13.027378272059606
2018-06-30 22:59:40,11,12.824640444853646
2018-06-30 23:11:40,10,12.54217640036828
2018-06-30 23:39:40,9,12.187958760331453
2018-06-30 23:48:30,8,11.769162884298307
2018-07-01 00:02:10,8,11.392246595868476
2018-07-01 00:11:40,9,11.153021936281629
2018-07-01 00:23:40,8,10.837719742653466
2018-07-01 00:35:50,7,10.453947768388119
2018-07-01 00:44:10,8,10.208552991549306
2018-07-01 00:54:50,6,9.787697692394376
2018-07-01 01:03:50,7,9.508927923154937
2018-07-01 01:25:00,7,9.258035130839444
2018-07-01 01:27:10,8,9.1322316177555
2018-07-01 01:41:40,9,9.11900845597995
2018-07-01 01:47:50,7,8.907107610381955
2018-07-01 01:53:40,9,8.91639684934376
2018-07-01 02:14:30,7,8.724757164409384
2018-07-01 02:25:20,8,8.652281447968447
2018-07-01 02:26:50,7,8.487053303171603
2018-07-01 02:34:10,8,8.438347972854443
2018-07-01 02:35:20,8,8.394513175569
2018-07-01 02:42:50,8,8.3550618580121
2018-07-01 02:44:00,7,8.21955567221089
2018-07-01 03:02:00,7,8.0976001049898
2018-07-01 03:12:40,7,7.987840094490819
2018-07-01 03:22:50,7,7.889056085041737
2018-07-01 03:34:50,9,8.000150476537565
2018-07-01 03:41:20,8,8.000135428883809
2018-07-01 03:50:00,8,8.000121885995428
2018-07-01 03:56:50,7,7.9001096973958855
2018-07-01 04:00:40,9,8.010098727656297
2018-07-01 04:06:10,9,8.109088854890668
2018-07-01 04:16:30,8,8.098179969401603
2018-07-01 04:18:20,9,8.188361972461442
2018-07-01 04:35:50,8,8.169525775215297
2018-07-01 05:09:00,9,8.252573197693767
2018-07-01 05:35:20,10,8.427315877924391
2018-07-01 06:09:10,15,9.084584290131952
2018-07-01 06:11:40,14,9.576125861118756
2018-07-01 06:17:10,16,10.218513275006881
2018-07-01 06:19:00,15,10.696661947506193
2018-07-01 06:21:10,15,11.126995752755574
2018-07-01 06:21:30,19,11.914296177480018
2018-07-01 06:35:30,22,12.922866559732018
2018-07-01 06:44:00,18,13.430579903758815
2018-07-01 07:01:50,20,14.087521913382934
2018-07-01 07:04:10,21,14.77876972204464
2018-07-01 07:29:50,22,15.500892749840176
2018-07-01 07:30:40,23,16.25080347485616
2018-07-01 07:31:30,27,17.325723127370544
2018-07-01 07:33:00,23,17.89315081463349
2018-07-01 07:45:10,24,18.503835733170142
2018-07-01 07:52:30,28,19.45345215985313
2018-07-01 07:55:00,23,19.808106943867816
2018-07-01 08:12:00,22,20.027296249481033
2018-07-01 08:27:30,26,20.624566624532928
2018-07-01 08:31:40,21,20.662109962079636
2018-07-01 08:38:30,26,21.195898965871674
2018-07-01 08:52:30,26,21.676309069284507
2018-07-01 08:55:00,22,21.70867816235606
2018-07-01 08:58:50,22,21.73781034612045
2018-07-01 09:05:00,22,21.764029311508406
2018-07-01 09:20:20,26,22.187626380357568
2018-07-01 09:30:40,22,22.16886374232181
2018-07-01 09:39:30,24,22.35197736808963
2018-07-01 09:54:30,24,22.516779631280667
2018-07-01 09:54:50,20,22.2651016681526
2018-07-01 09:55:10,22,22.23859150133734
2018-07-01 10:02:50,21,22.114732351203607
2018-07-01 10:07:30,23,22.203259116083245
2018-07-01 10:10:10,22,22.18293320447492
2018-07-01 10:23:30,24,22.36463988402743
2018-07-01 11:18:20,24,22.528175895624685
2018-07-01 11:20:20,23,22.575358306062217
2018-07-01 11:21:30,25,22.817822475455994
2018-07-01 11:47:30,25,23.036040227910394
2018-07-01 11:50:00,23,23.032436205119353
2018-07-01 12:02:50,22,22.929192584607417
2018-07-01 12:05:30,25,23.136273326146675
2018-07-01 12:13:10,25,23.322645993532007
2018-07-01 12:17:50,21,23.090381394178806
2018-07-01 12:39:10,23,23.081343254760924
2018-07-01 12:52:00,22,22.973208929284834
2018-07-01 13:24:20,25,23.17588803635635
2018-07-01 13:34:00,23,23.15829923272072
2018-07-01 13:45:30,25,23.342469309448646
2018-07-01 13:47:10,25,23.50822237850378
2018-07-01 14:27:20,25,23.657400140653404
2018-07-01 14:32:30,27,23.991660126588062
2018-07-01 14:38:50,22,23.792494113929255
2018-07-01 14:57:00,21,23.51324470253633
2018-07-01 15:10:20,24,23.5619202322827
2018-07-01 15:26:30,25,23.705728209054428
2018-07-01 15:40:00,21,23.435155388148985
2018-07-01 15:42:00,21,23.191639849334088
2018-07-01 15:56:10,20,22.87247586440068
2018-07-01 16:00:10,24,22.985228277960612
2018-07-01 16:04:40,20,22.68670545016455
2018-07-01 16:09:50,19,22.318034905148092
2018-07-01 16:13:00,18,21.886231414633283
2018-07-01 16:13:30,23,21.997608273169952
2018-07-01 16:14:10,20,21.79784744585296
2018-07-01 16:16:00,18,21.418062701267665
2018-07-01 16:18:10,20,21.2762564311409
2018-07-01 16:22:10,19,21.04863078802681
2018-07-01 16:28:40,18,20.743767709224127
2018-07-01 16:30:20,20,20.669390938301714
2018-07-01 17:14:20,19,20.50245184447154
2018-07-01 17:22:10,18,20.252206660024388
2018-07-01 18:03:20,20,20.22698599402195
2018-07-01 18:24:20,21,20.304287394619752
2018-07-01 18:27:40,18,20.07385865515778
2018-07-01 18:50:10,21,20.166472789642
2018-07-01 18:57:30,24,20.5498255106778
2018-07-01 19:00:30,23,20.79484295961002
2018-07-01 19:16:00,20,20.715358663649017
2018-07-01 19:25:00,20,20.643822797284116
2018-07-01 19:34:30,24,20.979440517555705
2018-07-01 19:48:30,23,21.181496465800134
2018-07-01 19:53:40,18,20.86334681922012
2018-07-01 19:57:30,22,20.977012137298107
2018-07-01 20:10:50,17,20.579310923568297
2018-07-01 20:11:30,22,20.72137983121147
2018-07-01 20:24:20,19,20.549241848090322
2018-07-01 20:35:00,17,20.19431766328129
2018-07-01 20:35:50,16,19.77488589695316
2018-07-01 20:46:10,18,19.597397307257843
2018-07-01 21:03:10,17,19.33765757653206
2018-07-01 21:10:20,15,18.903891818878854
2018-07-01 21:15:00,14,18.41350263699097
2018-07-01 21:19:50,14,17.972152373291873
2018-07-01 21:26:00,13,17.474937135962687
2018-07-01 21:28:30,19,17.62744342236642
2018-07-01 21:42:00,12,17.064699080129778
2018-07-01 21:47:00,12,16.5582291721168
2018-07-01 21:48:20,11,16.002406254905118
2018-07-01 21:59:20,11,15.502165629414606
2018-07-01 22:11:40,9,14.851949066473145
2018-07-01 22:16:50,9,14.26675415982583
2018-07-01 22:21:30,12,14.040078743843246
2018-07-01 22:26:00,9,13.536070869458921
2018-07-01 22:33:30,11,13.28246378251303
2018-07-01 22:58:10,8,12.754217404261727
2018-07-01 23:04:10,7,12.178795663835553
2018-07-01 23:12:30,6,11.560916097451997
2018-07-01 23:18:00,6,11.004824487706797
2018-07-01 23:21:30,6,10.504342038936118
2018-07-01 23:21:40,8,10.253907835042506
2018-07-01 23:22:10,6,9.828517051538256
2018-07-01 23:45:40,6,9.44566534638443
2018-07-01 23:57:20,6,9.101098811745986
2018-07-02 00:10:00,5,8.690988930571388
2018-07-02 00:16:00,5,8.321890037514247
2018-07-02 00:17:20,6,8.089701033762823
2018-07-02 00:21:30,6,7.880730930386541
2018-07-02 00:31:20,5,7.592657837347887
2018-07-02 00:33:20,6,7.433392053613098
2018-07-02 00:40:10,6,7.290052848251788
2018-07-02 00:44:50,5,7.061047563426609
2018-07-02 00:51:50,5,6.8549428070839475
2018-07-02 00:53:30,5,6.669448526375553
2018-07-02 01:06:30,5,6.502503673737997
2018-07-02 01:11:00,6,6.452253306364196
2018-07-02 01:16:00,5,6.3070279757277765
2018-07-02 01:48:40,5,6.176325178154999
2018-07-02 01:52:20,5,6.058692660339499
2018-07-02 02:14:10,5,5.9528233943055495
2018-07-02 02:14:30,5,5.857541054874995
2018-07-02 02:21:40,7,5.9717869493874955
2018-07-02 02:22:20,5,5.874608254448746
2018-07-02 02:30:40,7,5.987147429003872
2018-07-02 02:41:30,5,5.888432686103485
2018-07-02 02:43:10,6,5.899589417493137
2018-07-02 03:04:10,6,5.909630475743823
2018-07-02 03:17:20,5,5.81866742816944
2018-07-02 03:24:50,5,5.736800685352496
2018-07-02 03:29:20,5,5.663120616817246
2018-07-02 03:37:30,6,5.696808555135521
2018-07-02 03:52:50,5,5.627127699621969
2018-07-02 04:00:10,8,5.864414929659772
2018-07-02 04:01:30,6,5.877973436693795
2018-07-02 04:03:10,7,5.990176093024416
2018-07-02 04:23:20,6,5.991158483721974
2018-07-02 04:27:40,8,6.192042635349776
2018-07-02 04:41:30,6,6.172838371814799
2018-07-02 04:50:20,7,6.255554534633319
2018-07-02 05:00:40,9,6.529999081169988
2018-07-02 05:02:10,7,6.576999173052989
2018-07-02 05:07:00,7,6.6192992557476895
2018-07-02 05:22:00,8,6.757369330172922
2018-07-02 06:20:20,13,7.38163239715563
2018-07-02 06:29:50,14,8.043469157440068
2018-07-02 06:37:00,14,8.639122241696063
2018-07-02 07:01:10,19,9.675210017526457
2018-07-02 07:02:00,18,10.507689015773812
2018-07-02 07:10:10,20,11.45692011419643
2018-07-02 07:10:50,19,12.211228102776786
2018-07-02 07:14:20,22,13.190105292499108
