,mean,pi_lower,pi_upper
2023-05-14 19:23:00,22775.232675011794,6133.708224792554,39416.75712523103
2023-05-14 19:23:30,22792.87809522388,6092.320615378532,39493.435575069234
2023-05-14 19:24:00,22997.965211540162,6238.582637948966,39757.34778513136
2023-05-14 19:24:30,22898.333074170707,6080.331160793292,39716.33498754812
2023-05-14 19:25:00,22881.248805339506,6004.831162109036,39757.66644856997
2023-05-14 19:25:30,22627.739789355313,5693.107919157628,39562.371659553
2023-05-14 19:26:00,22612.759991944196,5620.11332671015,39605.406657178246
2023-05-14 19:26:30,22359.172490396213,5308.70842633436,39409.63655445806
2023-05-14 19:27:00,22278.62558180888,5170.539513804677,39386.71164981308
2023-05-14 19:27:30,22122.232059282433,4956.717414489096,39287.74670407577
2023-05-14 19:28:00,22086.542772824454,4863.791043469773,39309.29450217914
2023-05-14 19:28:30,21909.333010077957,4629.533785510426,39189.13223464548
2023-05-14 19:29:00,21987.698093442188,4651.039091438957,39324.35709544542
2023-05-14 19:29:30,21997.192441591833,4603.859538950233,39390.525344233436
2023-05-14 19:30:00,21960.614167621377,4510.791430054956,39410.4369051878
2023-05-14 19:30:30,21857.592914796413,4351.462626155655,39363.72320343717
2023-05-14 19:31:00,22039.20167908037,4476.944369917615,39601.45898824312
2023-05-14 19:31:30,21828.321156865215,4210.115632362562,39446.52668136787
2023-05-14 19:32:00,21768.359638063306,4094.3830053416496,39442.33627078496
2023-05-14 19:32:30,21583.2148340148,3853.6425288415485,39312.787139188054
2023-05-14 19:33:00,21675.13000829265,3890.1358212049927,39460.12419538031
2023-05-14 19:33:30,21700.04184032802,3859.7979421881464,39540.285738467894
2023-05-14 19:34:00,21504.923752319293,3609.600719317281,39400.2467853213
2023-05-14 19:34:30,21528.912029039642,3578.6788671593276,39479.14519091995
2023-05-14 19:35:00,21411.115750908044,3406.1399198705876,39416.0915819455
2023-05-14 19:35:30,21128.692967528306,3069.1404042276736,39188.245530828935
2023-05-14 19:36:00,20987.563870269973,2873.599011714192,39101.52872882575
2023-05-14 19:36:30,20764.13496054841,2595.920766319825,38932.349154776995
2023-05-14 19:37:00,20654.688365923594,2432.386340171077,38876.99039167611
2023-05-14 19:37:30,20218.143418688647,1941.9136316641998,38494.3732057131
2023-05-14 19:38:00,19720.746502726528,1390.7476118783597,38050.745393574696
2023-05-14 19:38:30,19515.783612404543,1132.1728830382817,37899.39434177081
2023-05-14 19:39:00,19094.789304758226,657.7226302775562,37531.8559792389
2023-05-14 19:39:30,18860.47086849742,370.1027902351343,37350.83894675971
2023-05-14 19:40:00,18522.685792818582,-20.830480531425565,37066.20206616859
2023-05-14 19:40:30,18183.446733678014,-413.0658396614199,36779.959307017445
2023-05-14 19:41:00,17701.440925323855,-947.9173478379053,36350.79919848562
2023-05-14 19:41:30,17256.23288492839,-1445.8217645244986,35958.28753438128
2023-05-14 19:42:00,16849.642221797178,-1904.9607391161226,35604.24518271048
2023-05-14 19:42:30,16445.76344116229,-2361.2410074965446,35252.76788982112
2023-05-14 19:43:00,15969.380817859234,-2889.8795187035066,34828.64115442197
2023-05-14 19:43:30,15941.454330752993,-2969.9175008361635,34852.82616234215
2023-05-14 19:44:00,15860.235885600247,-3103.104238518161,34823.57600971866
2023-05-14 19:44:30,15915.045813320054,-3100.120574944196,34930.212201584305
2023-05-14 19:45:00,15902.828014412586,-3164.0237677708064,34969.67979659598
2023-05-14 19:45:30,15935.732761604217,-3182.6646867732343,35054.13020998167
2023-05-14 19:46:00,15866.318349199219,-3303.4861647884154,35036.12286318685
2023-05-14 19:46:30,15778.24534798194,-3442.828743100383,34999.31943906426
2023-05-14 19:47:00,15687.88194546459,-3584.3253314731355,34960.08922240232
2023-05-14 19:47:30,15679.00281277503,-3644.2023415368894,35002.20796708695
2023-05-14 19:48:00,15544.148745184668,-3829.9200465276717,34918.217536897006
2023-05-14 19:48:30,15134.214853866686,-4290.584389790312,34559.014097523686
2023-05-14 19:49:00,14741.965288198318,-4733.432262731234,34217.36283912787
2023-05-14 19:49:30,14374.30927894401,-5151.555461884449,33900.17401977247
2023-05-14 19:50:00,14114.86480173546,-5461.337025674864,33691.06662914579
